gene,TBI Subacute vs SControl Log2 fold change,Subacute pval,Subacute padj,Subacute-log10(p_value),Subacute-log10(padj),np_score
Elmo2,0.0644777240940513,0.7504703384591231,0.9718759835538612,0.12466646810837874,0.012389149779963984,0.0102609337887443
Ada,-0.5937671151473928,0.1373016303295501,0.7054613103651447,0.8623243058883462,0.15152679928124418,0.0103540831601437
Tha1,-0.6402153716001933,0.3902888616809588,0.8838145282328077,0.4086138427221379,0.05363886373833108,0.010819804894379
Birc5,-3.471015993637011,1.108559706026762e-06,0.0002316594169674,5.955240911210149,3.6351500410086226,0.0102738415866718
Afmid,0.998824072673618,0.168620781579652,0.742132143559271,0.7730889020174182,0.12951875764689746,0.01
Mmp9,-0.7522906465524368,0.5078766582365261,0.9207204738697896,0.29424174667528386,0.03587219942502112,0.0111035897196226
Pltp,0.4433154737890241,0.0217422944230769,0.325781052096448,1.6626946275587131,0.48707417849668105,0.01
Ctsa,-0.1724133655729585,0.3756768759732541,0.8795154369093545,0.4251855362282998,0.05575653357352899,0.0116169091916474
Myo1c,0.2976879738773598,0.1829792968737816,0.7540979542210834,0.7375980455816562,0.12257223739995136,0.0110164131130931
Crk,0.1966212195979249,0.3723273133998284,0.8788116726540293,0.4290751033901895,0.05610418327682607,0.0105401436483533
Cox7c,0.3399492982851515,0.29345857023339,0.8449760174544244,0.5324532027265869,0.07315561724558925,0.0103067996823241
Mlx,0.4750058806462455,0.1275855166717208,0.6901092737913548,0.8941986233151339,0.16108213644076252,0.0110294008661464
Dhx58,-0.1691471546302889,0.6396837450704718,0.955226802383994,0.1940346849489845,0.01989350032257281,0.0102232610583999
Rab5a,0.0551788643789153,0.792915137705694,0.9758428056998992,0.100773290864359,0.010620135320371123,0.0114142857142857
Ppp2r5c,0.0130105020772184,0.9473174997818667,0.9953882255029752,0.02350443990530207,0.0020075008527244568,0.0104627721216205
Ift52,0.0217102163846074,0.9382257724570764,0.993645846909474,0.027692641435586127,0.0027683783184201923,0.010396
