gene,TBI Acute vs AControl Log2 fold change,Acute pval,Acute padj,Acute-log10(p_value),Acute-log10(padj),np_score
Lhx6,-0.5536913160382764,0.0982672465895087,0.4697259730741063,1.007591212542007,0.3281554252310602,0.01
Ndufa8,0.120425550289419,0.5830622238595782,0.8975711417071568,0.23428509526354863,0.046931119099070634,0.0108168090620667
Ifih1,0.2735690353012979,0.111513976450945,0.5007406442556858,0.9526706975025908,0.300387156235259,0.0102232267646657
Psmd14,-0.2376258189155018,0.2911783819259591,0.7406242756689398,0.535840871662496,0.1304020570499018,0.0117609279809679
Wdr5,-0.310178757044279,0.1285408963789969,0.5336594165131254,0.8909586758656789,0.2727358229685036,0.0117272788405941
Agpat2,0.5589037187318914,0.0504206534062772,0.3317638095907467,1.2973915305575912,0.4791709906813532,0.0104125
Notch1,0.1196054610933459,0.5243419183721327,0.8754900257938352,0.2803854213440783,0.057748797344525704,0.0109040866135118
Sec16a,-0.1846406420122547,0.3602515283699177,0.7894914058552864,0.44339416801233933,0.10265259321735953,0.010396
Inpp5e,0.2400442006833136,0.1997346072042796,0.6457121945930675,0.6995466801683138,0.18996101165135615,0.0107236313291027
Pmpca,-0.2556161287802813,0.1368945915439411,0.5466915134189366,0.863613709711306,0.262257667838703,0.0100935394267181
Gpsm1,-0.215336047409352,0.4331519910343253,0.834500117186358,0.3633596849744684,0.07857359799805377,0.0101164315212647
Traf2,-0.0202039937426408,0.9365762809712934,0.9877293760374688,0.028456845031112173,0.00536202969676385,0.0119396313575422
Anapc2,0.2695947167200615,0.1129822249060006,0.5042482096803867,0.9469898771578023,0.2973556350632568,0.0100920617556893
Il1rn,-3.8067521595923854,1.0522282823115208e-05,0.0006384208684528,4.977890029200373,3.194892925376358,0.0101307585914543
Pkp4,0.348960671645709,0.0505193125913514,0.3320055975886213,1.296542567455859,0.4788545940629612,0.0103132543546174
Nup35,-0.4325932582384129,0.2344351400991728,0.6860767079506936,0.6299772902335541,0.16362732455960366,0.0101562204452094
Nckap1,-0.1945962050661025,0.3145382372133557,0.7604631322978426,0.5023265514862926,0.11892183595381405,0.0102828571428571
Itga4,-0.386500117160672,0.0346192361706627,0.2665746691286982,1.4606825185093206,0.574181121164813,0.0111896678420976
